,name,type
0,7,revenue
0,601,variable
1,602,variable
2,603,variable
3,604,variable
4,605,variable
5,606,fix
6,607,variable
7,608,fix
8,609,variable
9,610,fix
10,611,fix
11,612,fix
12,613,fix
13,614,fix
14,615,fix
15,616,fix
16,617,fix
17,618,fix
18,619,fix
19,620,fix
20,621,fix
21,622,fix
22,623,fix
23,624,fix
24,625,fix
25,626,fix
26,627,fix
27,628,fix
28,629,fix
29,630,fix
30,631,fix
31,633,fix
32,635,fix
33,637,fix
34,640,fix
35,641,fix
36,644,fix
37,645,fix
38,646,fix
39,647,fix
40,648,fix
41,649,fix
42,650,fix
43,651,fix
44,653,fix
45,654,fix
46,655,fix
47,656,fix
48,657,fix
49,658,fix
50,660,fix
51,661,fix
52,664,fix
53,665,fix
54,666,fix
55,667,fix
56,668,fix
57,681,fix
58,686,fix
